nodeId,propertyValue
1450114033659613193,489.0
1421536080466219016,490.0
1595504547505573896,0.0
1572621454599983112,492.0
1419777616031191049,493.0
1436727740502315018,0.0
1465377732972449802,495.0
1430321277215117322,496.0
1401951138539311114,497.0
1464540965767680009,498.0
1477362703584923659,0.0
1507797806886621195,0.0
1581665034526199819,501.0
1474417748956614667,502.0
1431600836128477194,503.0
1380161420348821516,504.0
1414939265469976588,0.0
1575548370508255244,0.0
1584962694989418508,0.0
1122390802771140608,508.0
1450903241827487757,0.0
1071937852815106048,510.0
985034001017659392,511.0
1452363344648802316,512.0
1504866315856711693,0.0
1450861428391481358,514.0
741793068,109.0
553650379,516.0
167774412,517.0
1429433586462167055,518.0
1584631828895436815,519.0
1037346736300150784,520.0
25692368,521.0
1577382408718061584,522.0
1527517279260446736,523.0
1455576852492324872,524.0
1594782953120403472,525.0
1579571584142086161,526.0
1368507991499149329,0.0
1480913594967592977,528.0
220203225,529.0
424937687,530.0
1575545870283640850,0.0
1594785140793872402,0.0
1584602461100249106,533.0
242223332,534.0
1573358908709675009,535.0
1595718220555595776,0.0
14158067,537.0
1574168105110056960,0.0
846221856701001728,539.0
1575249406986752024,540.0
1595170372525166616,541.0
1575243437200314394,542.0
1578103094231109658,543.0
1446543402649194523,544.0
1575543752227229723,545.0
948226095823966208,0.0
219416852,547.0
16255254,548.0
1594780417017712670,0.0
615516449,550.0
1282148652,0.0
449579309,552.0
2489583920,553.0
717490493,554.0
210766152,555.0
23071054,556.0
962595169,0.0
88869220,558.0
100141415,559.0
801638761,0.0
1283173964190298112,561.0
1518129197172109312,0.0
1025024308740075520,563.0
64489845,0.0
173803892,0.0
71043458,566.0
1537466803433222145,567.0
1273467491646418945,568.0
1246722993897844737,569.0
1278996472571342849,570.0
346294679,571.0
1727531420,572.0
319818142,0.0
3218082208,0.0
1356416668679962624,0.0
841280711143358464,576.0
1099696568,577.0
723238117742903297,0.0
3105360326,579.0
3251636687,0.0
3289647572,581.0
240388566,582.0
1595142089578205184,0.0
248777189,584.0
1470460217083121665,585.0
2883586548,586.0
465308165,587.0
386402821,0.0
485231111,589.0
1509610246846787590,0.0
1575237317853270018,0.0
17828368,0.0
130288146,593.0
19663380,594.0
1634208277,595.0
236718614,596.0
896049350681538567,0.0
1194652777227726855,598.0
139201059,0.0
1051171,600.0
629410358,601.0
1126697528,602.0
1012927032,603.0
1893468733,0.0
1512311371,0.0
501221972,606.0
1239431730177757185,607.0
1205445919946264576,608.0
1355587755129131008,0.0
1231266771287625728,0.0
490736232,611.0
2671,556.0
1329558704979660801,0.0
512756357,0.0
939959010534576130,615.0
180619917,0.0
83888782,346.0
717418834303524864,618.0
1583475156768399360,0.0
3380087441,620.0
717798621618511872,0.0
827666088636850176,622.0
1572532507274256384,623.0
342887064,624.0
1516946925635141632,625.0
1573265098772193281,626.0
4197051,627.0
1577306454154944514,628.0
1113740961757065216,629.0
995144190068584448,630.0
1118212127133593600,631.0
1212898071513722880,632.0
1234615294204637184,633.0
318769865,0.0
558893770,635.0
52169421,636.0
1053035221,637.0
1575184418456608771,638.0
1574151166899920899,639.0
154405611,640.0
3170110193,641.0
2264926972,642.0
2850294528,643.0
191105805,644.0
2630093584,0.0
1921780530,436.0
106957621,647.0
2417232696,648.0
20450112,649.0
4195093318,650.0
745540429,651.0
2693008208,652.0
2323385174,653.0
143133544,654.0
490998646,655.0
211553152,656.0
623381376,657.0
1257245570,0.0
780929923,659.0
14420872,556.0
17566603,661.0
54266773,662.0
167250854,663.0
90704806,664.0
330042294,665.0
2396785596,666.0
69471185,667.0
139201492,668.0
14945261,669.0
161745903,670.0
