Id,louvainId,wccId,pagerank
343146976,102.0,102.0,0.9612404689154856
370409954,11000.0,103.0,0.181875
267125220,104.0,104.0,0.9612404689154856
1471490171790970883,105.0,105.0,0.9612404689154856
1576864510970920960,11061.0,0.0,0.15
892946829964443648,107.0,107.0,0.9612404689154856
1294443354844004352,108.0,108.0,0.9612404689154856
22807017,4756.0,109.0,0.1641666666666666
1586351992527618048,4602.0,0.0,0.15
1594724163956211712,111.0,111.0,0.9612404689154856
289669612,112.0,112.0,0.9612404689154856
1077805707750244352,2817.0,0.0,0.15
106430958,41751.0,114.0,0.15
1557557468233957376,115.0,115.0,0.9612404689154856
47448563,52478.0,0.0,4.960904285469824
1574655261935108097,39917.0,0.0,0.3461498113493637
1277886659107979265,118.0,118.0,0.9612404689154856
1087115099024883713,119.0,119.0,0.9612404689154856
1279141550841364481,120.0,120.0,0.9612404689154856
1309564260461281281,121.0,121.0,0.2775
1079771652,122.0,122.0,0.9612404689154856
1571137244022407169,123.0,123.0,0.9612404689154856
75760138,124.0,124.0,0.9612404689154856
233046550,1172.0,0.0,0.15
1597763790157873154,126.0,126.0,0.9612404689154856
793772569,44834.0,127.0,0.21375
1459235250316398592,74897.0,128.0,0.15
1519806493876441088,129.0,129.0,0.2775
748935288576245762,130.0,130.0,0.9612404689154856
1591667387413266434,131.0,131.0,0.9612404689154856
14156317,132.0,132.0,0.2775
1443849823032070144,1172.0,0.0,0.2152187696791667
1581456886766993410,134.0,134.0,0.9612404689154856
790619335874281474,41333.0,135.0,0.21375
1409213041825173504,8376.0,0.0,0.4207696552109902
227803690,8884.0,137.0,0.9612404689154856
370147894,47902.0,0.0,0.15
326369861,139.0,139.0,0.9612404689154856
2399142472,140.0,140.0,0.9612404689154856
1407451728,32620.0,0.0,0.2064275050495844
1049171,35211.0,142.0,0.15
882022955651399685,143.0,143.0,0.9612404689154856
1402927932176224259,53047.0,144.0,0.15
1518786083592413185,48733.0,145.0,0.15
3554673261,146.0,146.0,0.9612404689154856
1399788319135911940,147.0,147.0,0.9612404689154856
583008899,148.0,148.0,0.2227531537020134
35127952,149.0,149.0,0.9612404689154856
71303860,60233.0,0.0,3.279760523434083
2679636660,151.0,151.0,0.9612404689154856
233571003,152.0,152.0,0.9612404689154856
1459990593061408775,19486.0,0.0,0.15
2749104844,154.0,154.0,0.9612404689154856
384565965,155.0,155.0,0.9612404689154856
111674061,156.0,156.0,0.9612404689154856
1500429135918866432,157.0,157.0,0.9612404689154856
1493904380248137728,32620.0,0.0,2.878471829989089
1386064885923127296,69308.0,159.0,0.260869511831788
98042582,160.0,160.0,1.7724809378309714
105382624,161.0,161.0,0.9612404689154856
1704985315,162.0,162.0,0.2775
492045030,78192.0,0.0,0.15
1504103895978680321,164.0,164.0,0.9612404689154856
1352168131876298753,165.0,165.0,0.9612404689154856
283116263,26054.0,0.0,0.15
1447450087525916673,26519.0,0.0,0.15
206308078,78098.0,168.0,0.15
450626287,169.0,169.0,0.9612404689154856
348914414,2817.0,0.0,0.3316875
1382847873814044674,78192.0,0.0,1.963617907108876
109052673,172.0,172.0,0.9612404689154856
2327577348,25598.0,0.0,0.468540531108301
47710983,69535.0,0.0,0.15
552862476,175.0,175.0,0.2775
130810643,176.0,176.0,0.9612404689154856
1515546774408208388,19486.0,0.0,1.0671492774552662
1259868941876248576,178.0,178.0,0.9612404689154856
1264583479,179.0,179.0,0.2775
330302277,41798.0,0.0,0.15
1255146330,60233.0,0.0,0.15
78644068,79376.0,182.0,0.15
874,73921.0,183.0,0.15
342885226,13144.0,0.0,0.15
928252783,25598.0,0.0,0.6440822546564856
4012376963,186.0,186.0,0.9612404689154856
211288966,187.0,187.0,0.9612404689154856
2656043916,62545.0,0.0,0.15
3425698714,13011.0,189.0,0.9372199410483368
16516000,190.0,190.0,0.2775
289932208,191.0,191.0,0.9612404689154856
558629811,192.0,192.0,0.9612404689154856
1166191227894677504,25598.0,0.0,0.21375
554435511,194.0,194.0,0.9612404689154856
1096633142956441600,51351.0,195.0,0.15
702999866482540544,196.0,196.0,0.9612404689154856
107217872,56270.0,197.0,0.15
734004217,198.0,198.0,0.9612404689154856
567542790,199.0,199.0,0.9612404689154856
42992649,47233.0,200.0,0.15
1691616266,201.0,201.0,0.9612404689154856
2599945230,202.0,202.0,1.7724809378309714
1938031644,203.0,203.0,0.9612404689154856
780179296438652928,23500.0,204.0,0.15
823161465121214464,77429.0,205.0,0.15
330826792,17355.0,206.0,0.2775
22545453,53786.0,207.0,0.15
23594033,208.0,208.0,0.2775
1138842105856573445,209.0,209.0,0.2775
1313005411788677121,44470.0,0.0,0.15
257688632,211.0,211.0,0.9612404689154856
1038442278702833665,61018.0,212.0,0.15
122422343,62363.0,213.0,0.21375
164889672,36001.0,214.0,0.21375
2275935314,61343.0,215.0,0.15
53216354,216.0,216.0,0.9612404689154856
584844391,217.0,217.0,0.9612404689154856
1573030500800892928,218.0,218.0,0.9612404689154856
926235343388643328,50445.0,219.0,0.21375
1307756615056199680,220.0,220.0,0.9612404689154856
910303613712568320,221.0,221.0,0.9612404689154856
1265104990814834688,35875.0,0.0,0.3481744774698524
940523137288081408,2817.0,0.0,0.4826086275855297
1541838143242080256,47902.0,0.0,0.1779000071524817
1299344969925365760,225.0,225.0,0.9612404689154856
305398898,226.0,226.0,0.9612404689154856
1229701765983080448,19486.0,0.0,0.335614023663576
4240180337,19345.0,228.0,0.21375
282592374,229.0,229.0,0.9612404689154856
