index,author_id
273,7865552
274,1555932755275440130
275,157811945
276,1546847395132104707
277,2320762096
278,871105783
279,256640255
280,2746221825
281,263980293
282,822807935394775040
283,138937620
284,207619350
285,421266728
286,2492990768
287,2917139774
288,715916606
289,89392448
290,403703115
291,14157134
292,139724115
293,194512228
294,1386246771375026177
295,1421700536966000641
296,2755396973
297,1946682733
298,212075892
299,268174712
300,1333823394308108290
301,1478889361441763330
302,785260250551156736
303,708563135934889984
304,1011851754667900928
305,1290037081977257984
306,2375026058
307,766250901392719872
308,1316988379985215488
309,837766451767410688
310,872302340434427904
311,1232414520565432320
312,919864722
313,1489039585443262467
314,708601196861325313
315,1313376262291849217
316,991685047114661889
317,925416563527778305
318,1591869713507811329
319,1572708390958137345
320,1299319124242333697
321,1267431591866925057
322,1256036855457382401
323,1551860304291692545
324,1574344740610445312
325,61867439
326,247989680
327,1504129469048631300
328,1128350164786216962
329,1306825911963013120
330,887519245944279040
331,952820028839088128
332,2818573757
333,1387267514
334,870928856458252288
335,19924413
336,2421687752
337,34080203
338,2347501004
339,3914335692
340,3120301530
341,1138492890
342,463996386
343,3171681768
344,463996401
345,1011353088
346,20186635
347,4610065936
348,524289602
349,13895242
350,337905233
351,1255933524
352,864468408930377728
353,1134408417668423680
354,1937770087
355,1480672044002029568
356,462161531
357,1520405237231910912
358,3309831819
359,1688
360,429393561
361,201066140
362,70780573
363,28837536
364,1234861852879777792
365,1531495262752894976
366,1276568131196973056
367,3331851939
368,5768872
369,254281388
370,299894452
371,1537141544066510849
372,1518757393969999873
373,1547981022003752961
374,16778949
375,281806539
376,783025867
377,75237089
378,73402086
379,234096360
380,2667579115
381,2571110125
382,1158659396211286016
383,313525999
384,1574810747863015424
385,1297368930663768064
386,1050710024274812928
387,1596529616600145920
388,1119468688829292544
389,1575046611629219840
390,297535222
391,1176061961328631808
392,3033270020
393,1480345832700485633
394,624953096
395,1572465588345217025
396,866339784112971777
397,1573995741579812865
398,1154296917129666561
399,1447957992738103297
400,75761431
401,826101166039789568
402,20973388
403,1505116961017143300
404,1565793291941003264
405,1573262266643857408
406,300681089
407,111413126
408,1525439378691985408
409,249563027
410,66848662
411,3358590875
412,19400611
413,281282477
414,279447484
415,16779204
416,1395291451265884169
417,4895541207
418,249825248
419,157812708
420,3342600166
421,932448235
422,2152204269
423,1282934768
424,2482505736
425,714634593538805760
426,808015647129079808
427,715251575522988032
428,830212118
429,263456799
430,71305251
431,788524
432,751568942
433,137103414
434,3030911032
435,1108930580102569984
436,1196157481354846208
437,405538880
438,1556715305103233024
439,2366113867
440,1362368542344011777
441,351537247
442,130549887
443,3310094463
444,1345510964217712640
445,1556637769644052480
446,763219241386577920
447,1366123517587165184
448,1536990210113867776
449,1411214895836762113
450,1526681379404189697
451,1475400952140206080
452,785784799323688960
453,1585937949597831168
454,1368586029536579586
455,1580211591001346050
456,1515911303566659586
457,1597655887363117058
458,1528466798416433154
459,821429675222306819
460,1427168312757260291
461,1543628343072985090
462,1558525237179912194
463,1590467066129223682
464,1498228999998345220
465,1429337113946951684
466,1454517389924700164
467,1426254293435355139
468,1349018068350078979
469,1382338996970393605
470,1543960900671049732
471,1574165736934805508
472,1430760798339665924
473,1510585462238416900
474,1452039853835751430
475,1459298125152194566
476,1473131567270793222
477,1521428380217970694
478,1392155737263116293
479,1497861464136290311
480,1502369937930784774
481,1528851150291800070
482,705039826979065862
483,1572901626456772614
484,1527876379345358856
485,1474186860314431496
486,24905898
487,1579555069699231752
488,1504494683216613383
489,1450114033659613193
490,1421536080466219016
491,1595504547505573896
492,1572621454599983112
493,1419777616031191049
494,1436727740502315018
495,1465377732972449802
496,1430321277215117322
497,1401951138539311114
498,1464540965767680009
499,1477362703584923659
500,1507797806886621195
501,1581665034526199819
502,1474417748956614667
503,1431600836128477194
504,1380161420348821516
505,1414939265469976588
506,1575548370508255244
507,1584962694989418508
508,1122390802771140608
509,1450903241827487757
510,1071937852815106048
511,985034001017659392
512,1452363344648802316
513,1504866315856711693
514,1450861428391481358
515,741793068
516,553650379
517,167774412
518,1429433586462167055
519,1584631828895436815
520,1037346736300150784
521,25692368
522,1577382408718061584
523,1527517279260446736
524,1455576852492324872
525,1594782953120403472
526,1579571584142086161
527,1368507991499149329
528,1480913594967592977
529,220203225
530,424937687
531,1575545870283640850
532,1594785140793872402
533,1584602461100249106
534,242223332
535,1573358908709675009
536,1595718220555595776
537,14158067
538,1574168105110056960
539,846221856701001728
540,1575249406986752024
541,1595170372525166616
542,1575243437200314394
543,1578103094231109658
544,1446543402649194523
545,1575543752227229723
546,948226095823966208
547,219416852
548,16255254
549,1594780417017712670
550,615516449
551,1282148652
552,449579309
553,2489583920
554,717490493
555,210766152
556,23071054
557,962595169
558,88869220
559,100141415
560,801638761
561,1283173964190298112
562,1518129197172109312
563,1025024308740075520
564,64489845
565,173803892
566,71043458
567,1537466803433222145
568,1273467491646418945
569,1246722993897844737
570,1278996472571342849
571,346294679
572,1727531420
573,319818142
574,3218082208
575,1356416668679962624
576,841280711143358464
577,1099696568
578,723238117742903297
579,3105360326
580,3251636687
581,3289647572
582,240388566
583,1595142089578205184
584,248777189
585,1470460217083121665
586,2883586548
587,465308165
588,386402821
589,485231111
590,1509610246846787590
591,1575237317853270018
592,17828368
593,130288146
594,19663380
595,1634208277
596,236718614
597,896049350681538567
598,1194652777227726855
599,139201059
600,1051171
601,629410358
602,1126697528
603,1012927032
604,1893468733
605,1512311371
606,501221972
607,1239431730177757185
608,1205445919946264576
609,1355587755129131008
610,1231266771287625728
611,490736232
612,2671
613,1329558704979660801
614,512756357
615,939959010534576130
616,180619917
617,83888782
618,717418834303524864
619,1583475156768399360
620,3380087441
621,717798621618511872
622,827666088636850176
623,1572532507274256384
624,342887064
625,1516946925635141632
626,1573265098772193281
627,4197051
628,1577306454154944514
629,1113740961757065216
630,995144190068584448
631,1118212127133593600
632,1212898071513722880
633,1234615294204637184
634,318769865
635,558893770
636,52169421
637,1053035221
638,1575184418456608771
639,1574151166899920899
640,154405611
641,3170110193
642,2264926972
643,2850294528
644,191105805
645,2630093584
646,1921780530
647,106957621
648,2417232696
649,20450112
650,4195093318
651,745540429
