author_id,tweet_id,conversation_author_id
745088686199611392,1546873703195189251,820289531324690432
753968611174350848,1546873363926237185,108865686
1320052612390150144,1546872808684363776,1264741270775267333
223394024,1546872210945622020,454099919
864327281510166528,1546871810536382464,15238474
64088835,1546871726029516800,169277762
1543408217979604992,1546871260960915459,890074478
1462835467582328835,1546870280336936962,4240180337
1259352523976015872,1546869823010770945,807095
1004081494254551040,1546869529858523137,2173779986
1512256635384827907,1546869365374590984,56575418
97775155,1546868722085888000,41203121
1538149178731282432,1546867954452729856,3439555847
1189247690078674944,1546867810776793088,859157011421958146
886202178733568001,1546865833896558593,937899468585828352
785251203567357952,1546865830763405315,910357294109556736
1249256420463312902,1546865198862139392,1534620387732074504
1539332692201730048,1546864981047758848,23906156
1081910983218659328,1546864953595944960,1256963034083471361
1520279218495664128,1546864930883788801,18856867
797545993235525632,1546863912578064389,2590106442
1541133490191601665,1546863872430051328,11134252
98780424,1546863360549027840,1382847873814044674
1328291322126610432,1546863293301751811,51241574
98780424,1546862977474871297,1382847873814044674
803943139971108864,1546862628424876032,27754877
61867439,1546862604588425216,1080285585191956480
1478339901082976263,1546862046431543297,303765093
98780424,1546861989804363776,1382847873814044674
594169842,1546861178017796098,428140124
98780424,1546861136095723520,1382847873814044674
1522869736241082370,1546860883057717248,991170815172513792
1400135805612535815,1546860838149136388,1155141920173232128
390383441,1546860645064364034,171890315
145703465,1546860562268790786,1962626484
21023131,1546860039788544002,22776133
1461774993725997056,1546859933056077825,927513257946083329
1347573337195761664,1546859109559009281,1295905170493038597
227292264,1546858251458945024,1648449110
1521019300571713536,1546858129673097216,15764644
1497391068119281667,1546858084991205379,1168793622248067072
105260278,1546857682082172928,1416472911251116032
895105557048250368,1546857398945693701,1190300554171473920
1476217928781549568,1546857102718689280,19069018
1381211544,1546857094258868225,63082578
1524777694021689344,1546857088181084165,300636850
1352316652684193800,1546857017700237313,1146329871418843136
1497391068119281667,1546857016643166208,2256760459
915667961041612800,1546856946753495041,1148120993803595776
