author_id,tweet_id,conversation_author_id
14335332,1257010045696393218,271251672
280737642,1254577976580157440,281795232
22387220,1253461581620342784,14208457
389067673,1253455891891879936,3334791
4027668855,1253339770672918541,57029492
602721749,1253155994512896000,497323353
3252,1251948034528735232,14636243
13205612,1251937465914609665,990643968252743681
359024514,1251511720217997312,14585038
22751329,1249529744057565186,95875062
14420872,1249480480329592834,34255829
242069220,1248533441651585024,88160292
33221250,1247932472324751361,1219544118
16692909,1247911504021684224,20668314
227399720,1246594860922085377,12514
34255829,1246563657351380998,10322132
2401673892,1246275360221691906,814045403809083392
78079597,1246152199819968512,2148222332
167771431,1244341450294341632,21706010
5907282,1244205854892732416,1151664248
21619806,1243636939510763524,342289417
495643,1243527261329846277,202275059
59545968,1242835509199671298,2355118160
21250548,1242620046641213443,178231849
14559196,1241852446244298752,3232908912
34255829,1241787267288530944,3119088280
42953038,1241431878118359040,14981695
21534951,1241347489653035014,463422645
85335667,1240691990703902721,62854586
434555347,1240600248348807168,359188534
2440511442,1240347292206497793,105799808
34255829,1240309188074573825,101080191
34255829,1240308860583399428,101080191
134196350,1240287241743798272,32381857
4027668855,1240015685411012608,39416218
531583976,1239668064901156864,956592006771326976
359024514,1238488921383661568,119704541
2523903076,1238465947901538306,188104515
610659001,1238208821287358465,564634722
827637158555033600,1237860498068189184,15754281
3238448948,1237797344256520192,137712607
3238448948,1237678711618408448,20786170
827637158555033600,1237428661978103809,2303751216
23032310,1237390435397468165,148868920
15684633,1235760806035415041,14687198
20105978,1234596456972947456,2681166800
22674817,1233913918038265857,15278016
989633635,1233845164709490689,882663446
48107021,1233589399012556802,134983617
42171991,1233400990382075905,2341772972
42171991,1233339168966791169,34943850
15999017,1232067183737479169,532606602
5907282,1231260561696006144,569949654
2450408658,1230926334878081024,895365707264913409
13205612,1230861242761449472,14965628
13205612,1230819537806921728,80201928
13205612,1230678269080612864,6779852
14564016,1230244882582843395,194901519
2714929512,1230073199024648192,90167515
483273973,1229182715339079681,20513456
47753898,1228127801838120960,26858764
14335332,1227985570590228482,16444936
14335332,1227792961427169280,16444936
19619047,1227679990516518924,633186590
142771553,1227666026491514881,170942226
1464972278,1227660456145408006,1337539945
1464972278,1227659427999866883,1337539945
1464972278,1227659273548726272,1337539945
1426727348,1227645995124711424,14452214
106109075,1227308319792078850,940573555024191489
10449,1226897272128102400,16091351
10449,1226665430120648704,16091351
15164870,1226231054127661056,16017475
1426727348,1225079583483072514,108044998
795789,1224807780613226497,15433596
142771553,1224420074850848770,8083262
2626376017,1223618944055021568,2863558902
13946232,1220535437913051136,26036019
716576919328841728,1218430987224436737,93888820
1069129315,1217604508236288000,2937632239
1765921,1215425108300439552,137712607
2178012643,1215395470777950208,8917142
483273973,1213229322783223808,18251414
