author_id,tweet_id,conversation_author_id
712857593530683392,1381548807486251009,1554392796
712857593530683392,1381015489896271872,1343299213816438786
712857593530683392,1380666649292906498,65632958
712857593530683392,1380318926437969920,21219390
11433152,1380211864135680010,967945381198917632
5633002,1380159039284375561,20733754
232291320,1379493978874150915,152084906
1931128284,1379482297322323970,1945724101
94119095,1379448363767201797,45938034
17387342,1379085651832930307,419943804
712857593530683392,1378737192516808709,233717347
19721574,1378575550009077764,1287441436246384640
454076195,1378533059054743556,1956831175
85398638,1378396290787184643,29844573
108676772,1377989976361668613,29834570
92211807,1377815050816167938,2412118970
313972455,1376857337709879296,314047134
48352979,1376326760506261515,1212107485135290368
19355829,1375655495927787522,15501945
614405369,1375591204553945089,71391769
27046692,1375572390969769986,709468324103454720
166793353,1375298303676518402,3395681
178089837,1374907179044544514,1295918673316765697
6527972,1374570569996201987,707287730233991168
235199409,1374343749996777473,7848802
71640989,1374333259342098433,28631446
3363584909,1374195029175013380,1932662647
24277551,1373676547106820098,733394058664501248
38047391,1373264887149912067,2351947344
64029662,1373053176736268293,77436417
64029662,1373052384834883587,755195643170357248
10977452,1372539760191897604,1297951335313059841
61371461,1372296970694365185,350601147
23023894,1371493885986414592,16531704
51329146,1371369400285097986,330826792
20906660,1371365578594607104,11695892
359831209,1371220740578672645,27089985
1120219494,1371123829850836996,529452973
14394076,1370851091001184257,388695872
63073975,1370407487912873986,436477333
744073,1369959481124225030,2740556850
2178012643,1369701157501771779,237409428
212019800,1369660829642092545,387040643
278007236,1369097090295545858,1174384316689895424
1157748392430309377,1368798592304095232,54266773
28655732,1368700410714877952,287047363
10449,1368269172250193924,1395760177538863107
318739058,1367886966797307914,1082358644375764992
12506632,1367687162972360704,1330968599960305665
3046525515,1367589531663306752,4874759363
84653850,1367464379810258949,809171502
411303993,1367372324719243271,17002514
21862925,1367226595962990601,145671928
561163046,1366821695378644995,1653876504
712857593530683392,1366593757051711489,311387685
8105842,1365740354914422791,292859790
27583042,1365477054658064385,329972029
818340,1365416584106270720,14279417
1548572586,1365308111427407880,14348157
57629490,1364982293559934978,977781530054586368
95022046,1364527325346492421,139785150
16929108,1364352578536964098,14987728
147924729,1364118285587898370,1047292700783915008
26902304,1363967346386366474,23173370
764187379,1363949098118877187,15446531
224081112,1363934647567011841,139971759
316057426,1363300597072596992,1300993532128264192
14850356,1363274998522208260,20941733
17557537,1363142504359620610,486788914
1849482031,1362856615997820931,1331268936734814214
95022046,1362760672128434176,27629414
95022046,1362760452372123656,907270796825038853
185317527,1362536691269963778,262033458
185317527,1362531690480947202,446743621
185317527,1362530103989739520,887346636481069056
185317527,1362528846835163137,1938985488
1252988129708929024,1361408519086432257,263000760
3656836876,1361402245473054723,2214652482
27884506,1361398594738270213,769474873
27884506,1361395682653921281,769474873
20845793,1361343589180080128,146368419
712857593530683392,1360910468613771270,316971757
17387342,1360604007526522880,264143511
39612543,1360556983850586118,42081491
108677993,1360289018542387202,253819672
38927264,1360271302796464136,3291691
30274860,1360268558303961091,152595346
16912124,1359697940110000129,305243657
188045648,1359617757147402241,41824898
7177512,1359565654714691586,6877872
52834132,1359527527795032067,361470790
15710997,1359361844473966594,15568439
162535413,1359213651186470914,42226885
2228934048,1359166442000760832,15920262
12497,1358452218060443648,19659141
85227160,1358420637434454016,1282029579469836288
15082486,1358122382079258628,83814679
