Id,propertyValue
897861267326685184,0.14126407489743173
995363950983303168,0.0
1045012249553850371,0.0
707603034130534401,1.0
905563811482095620,0.0
1514895224900026370,0.0
1483440260189388801,0.0
934455744564482053,0.0
1518283628895404033,0.0
1572150388912160770,0.6666666666666666
1459474319030222850,0.0
1473588138039967747,0.0
1542019554951692290,0.0
1569720520844902402,0.0
1582281196725469187,0.0
1557171730346803203,0.0
1498344194431139845,0.0
1465670217573482501,0.0
1562747017075752963,0.1181013117330593
1562921824576733188,1.0
1497639779022012421,0.0
1543920365491322885,0.0
227725341,0.0
1581101807220424708,0.0
140169247,0.0
952553504,0.0
1500963013427347462,0.0
1452543322321391620,0.1730111466554499
9621552,0.0
2152124468,0.0
2787561529,0.0
65720380,0.0
1426173865554755591,0.0
1492949893748506631,0.0
1573564966489231360,0.0
1548958230193311744,0.0
1523466737613737984,0.0
1574141557795655680,0.0
1552746582742863872,0.0
1538550371504820224,0.0
1325448824404512768,0.0
786552694395834368,0.0
1579664178142449664,0.0
1550172611526725632,0.0
48681046,0.0
993710172,0.0
1356736268944687112,0.0
49467487,0.0
1459117287185727496,0.0
1348020597410959361,0.0
1593291091733843969,0.10586203393274408
1574707326858235905,0.0
1575017049566416897,0.06971671729268979
1585533529051566081,1.0
745459818,0.0
538103919,0.0
278843505,1.0
1478398223769288713,0.0
1573070893584158722,0.12913193268285428
1583855268164734978,0.0
1054232492364914688,0.07430543670488904
1041487485346373632,0.0
164810878,0.0
1590690614932344834,0.0
4546809995,0.0
2810630287,0.0
1528491982762479619,0.0
1472982721622380547,0.0
947966676473077761,0.0
1491954953673445379,1.0
213045397,0.0
1573385551746633731,0.0
1482896643087548416,0.0
462344348,0.0
52875432,0.0
1401223681230180356,1.0
1540352203286003713,0.0
749560076097073152,0.0
245813428,0.6
1117704380,0.6666666666666666
21156033,1.0
1580958536330317829,1.0
1497024001314590725,1.0
1537283318823038977,0.0
1679478991,0.0
18272473,0.0
366399706,0.0
5427422,0.0
1578152642248904710,0.0
23777516,0.0
52613359,0.0
143053047,1.0
3293499643,0.0
1008370370385272832,0.0
1088713373754318848,0.0
1005831740307529728,0.0
968586143083257856,0.0
1087637159102898176,0.0
37671177,0.0
404410635,0.0
1498076222668083208,1.0
44749075,0.0
938155569646657537,0.0
954555105550000129,0.0
1059576966305800193,0.0
1088087473807417345,0.0
1500285176928079874,0.0
1595068704,0.0
2913653027,0.6
1247990059,0.0
150393133,0.0
1117007293697142784,0.0
742834948369985536,0.0
1276253566462767104,0.0
1296774898191347712,0.0
861163458280206336,0.0
1175714619698098176,0.0
947924373029171200,0.20092040312628548
1243897135327784960,1.0
949998112088698880,0.0
1181985687488344064,0.0
4150972732,0.0
229560640,0.0
2205077826,0.0
755159364,0.0
1278883617603760129,0.0
1111689904336056321,0.0
1249233329397870593,0.0
886617068711358465,0.0
757194951985856512,0.0
319168528,0.0
393138515,0.0
334942563,0.0
1236418041145110530,0.0
1261320497213648898,0.0
117100903,0.0
365613434,1.0
2151338370,0.6666666666666666
164024707,0.0
1191529787166052352,0.12073719904528707
1044886819710455808,0.0
1576145194612707328,0.0
1526407769296752640,0.0
1563667659635314688,0.0
1546873891905097728,1.0
1334969704645939200,0.0
116314524,1.0
1213082931637276672,0.0
2444939692,0.0
735125167450378241,0.1307041970848699
1463885671865536513,0.0
1442902273328173057,0.0
1336335390966304769,0.0
2560283075,0.0
1497668799205572612,1.0
1363548638635458564,0.0
462082516,0.0
100323796,0.0
1207340149136338951,0.0
1435531917659570181,0.0
1383622269272870915,0.0
750288851869073408,0.0
756638023639597056,0.0
1286783422191599616,0.0
1083394299922972672,0.0
785878039121068032,0.0
1587354135153836032,0.1143670339640312
1308107565180616704,0.0
1586322331537997824,0.0
1046275248541368320,0.0
1273314023036125184,0.0
328651258,0.0
1075254357644509185,0.0
1574446550469804033,0.1163266673116855
1247421356083478529,0.0
1541474975596642305,0.0
903319258985365505,0.0
815098805095989249,0.0
4614967820,0.5
1597763997713006594,0.0
1564618017371291650,0.0
1397863030575222784,0.2222222222222222
1587520274152521730,0.0
1587611819501387778,1.0
1460233733630480384,0.0
1475174927078674432,0.0
1574057995515953154,0.0
