tweet_id,Source,Target,conversation_id,limitedTopics
234625001683304448,11622712,,234625001683304448,"[6, 8, 4, 5, 7, 3, 0, 2, 9, 1]"
235177706596233218,16060978,,235177706596233218,"[6, 8, 4, 5, 9, 7, 3, 2, 0, 1]"
235908185578430464,15817979,,235908185578430464,"[6, 8, 4, 5, 7, 9, 2, 3, 1, 0]"
237107601987489793,16060978,,237107601987489793,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
238593743526166528,325014410,,238593743526166528,"[6, 8, 4, 5, 7, 0, 2, 1, 9, 3]"
238682240740126720,106333951,,238682240740126720,"[6, 8, 4, 3, 2, 5, 9, 1, 0, 7]"
241496113939623936,14286491,,241496113939623936,"[6, 8, 4, 5, 9, 7, 2, 3, 1, 0]"
245176170927226881,54283229,,245176170927226881,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
245200145401143296,1068831,,245200145401143296,"[6, 8, 4, 5, 9, 7, 3, 1, 2, 0]"
245470690722070528,167418063,,245470690722070528,"[6, 8, 4, 5, 7, 0, 2, 9, 1, 3]"
246019770921656320,26775859,,246019770921656320,"[6, 8, 4, 5, 9, 7, 0, 2, 1, 3]"
248424356802359298,369689042,,248424356802359298,"[6, 8, 4, 5, 9, 7, 3, 0, 2, 1]"
248809239101988865,255554024,,248809239101988865,"[6, 8, 4, 5, 7, 0, 2, 1, 9, 3]"
248845120059871233,246925752,,248845120059871233,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
249653855351103489,34255829,,249653855351103489,"[6, 8, 4, 5, 9, 7, 3, 2, 0, 1]"
250025552587661312,88581667,,250025552587661312,"[6, 8, 4, 5, 9, 7, 3, 0, 2, 1]"
252067462340816896,12075892,,252067462340816896,"[6, 8, 5, 9, 7, 3, 1, 0, 4, 2]"
257861844281200640,31508449,,257861844281200640,"[6, 8, 5, 9, 3, 0, 1, 4, 7, 2]"
258922478359957504,19116165,,258922478359957504,"[6, 4, 5, 9, 7, 3, 1, 2, 8, 0]"
259275637783678976,19116165,,259275637783678976,"[6, 4, 5, 9, 7, 3, 2, 1, 0, 8]"
260506753693777920,15788889,,260506753693777920,"[6, 8, 5, 9, 7, 3, 0, 4, 1, 2]"
260887038281256960,631360634,,260887038281256960,"[6, 4, 5, 9, 7, 3, 8, 2, 1, 0]"
268820750608240641,111594658,,268820750608240641,"[6, 8, 9, 0, 7, 2, 1, 5, 3, 4]"
273081774526058498,187990590,,273081774526058498,"[6, 8, 4, 5, 9, 3, 2, 7, 1, 0]"
273526817762197505,68216386,,273526817762197505,"[6, 8, 4, 5, 9, 7, 3, 2, 0, 1]"
273856545354293248,39596342,,273849340739596288,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
274965644041134080,72730144,,274944054503030784,"[6, 8, 4, 5, 7, 0, 2, 1, 9, 3]"
275657270224904193,70921518,,275657270224904193,"[6, 8, 4, 5, 9, 7, 0, 1, 2, 3]"
276476515380785152,20555005,,276446296028622848,"[6, 8, 4, 5, 7, 0, 1, 2, 9, 3]"
277012438556237825,26790171,,277012438556237825,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
277808074679537665,108471290,,277808074679537665,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
278072635303276544,168619698,,278072635303276544,"[6, 8, 5, 7, 3, 2, 4, 9, 0, 1]"
279252532671434752,264856221,,279252532671434752,"[6, 4, 5, 9, 7, 3, 8, 2, 0, 1]"
